"Compound","Effect","Metabolite","Plate","Dose","SampleType","Well","ApexIntensity"
"DMSO","SolventControl","Thymidine","C183",0.1,"cells","c3",16751.966796875
"DMSO","SolventControl","Citrulline-D4","C158",0.1,"cells","e3",58493.9609375
"DMSO","SolventControl","Thymidine","C183",0.1,"cells","e3",16866.326171875
"DMSO","SolventControl","Citrulline-D4","C1ds2",0.1,"cells","d3",21959.80859375
"DMSO","SolventControl","Thymidine.D4","C1ds2",0.1,"media","a3",59266.484375
"DMSO","SolventControl","Thymidine.D4","C158",0.1,"cells","d3",86930.953125
"DMSO","SolventControl","Thymidine.D4","C158",0.1,"cells","e3",90949.2734375
"DMSO","SolventControl","Thymidine.D4","C158",0.1,"cells","g3",84630.140625
"DMSO","SolventControl","Thymidine.D4","C158",0.1,"media","h3",90117.6796875
"DMSO","SolventControl","Thymidine.D4","C173",0.1,"cells","b3",63250.72265625
"DMSO","SolventControl","Lactate","C1ca2",0.1,"cells","c3",21653.859375
"DMSO","SolventControl","Citrulline-D4","C173",0.1,"media","h3",43960.3359375
"DMSO","SolventControl","Thymidine","C180",0.1,"cells","e3",15569.9365234375
"DMSO","SolventControl","Citrulline-D4","C168",0.1,"cells","c3",25530.67578125
"DMSO","SolventControl","2'-deoxycytidine","C1ca1",0.1,"media","a3",1220.06640625
"DMSO","SolventControl","Citrulline-D4","C168",0.1,"cells","e3",25063.298828125
"DMSO","SolventControl","Citrulline-D4","C168",0.1,"cells","f3",22945.154296875
"DMSO","SolventControl","Lactate","C183",0.1,"cells","c3",8018.6142578125
"DMSO","SolventControl","Lactate","C183",0.1,"cells","d3",7514.759765625
"DMSO","SolventControl","Citrulline-D4","C170",0.1,"media","h3",36435.1640625
"DMSO","SolventControl","Thymidine.D4","C151",0.1,"cells","b3",85514.1328125
"DMSO","SolventControl","Thymidine","C1ds1",0.1,"media","a3",4018.19873046875
"DMSO","SolventControl","Thymidine","C147",0.1,"media","h3",10401.9423828125
"DMSO","SolventControl","Thymidine","C177",0.1,"media","a3",4580.25390625
"DMSO","SolventControl","2'-deoxycytidine","C148",0.1,"cells","g3",18173.68359375
"DMSO","SolventControl","2'-deoxycytidine","C148",0.1,"media","h3",767.035949707031
"DMSO","SolventControl","Citrulline-D4","C148",0.1,"media","h3",58981.0546875
"DMSO","SolventControl","Citrulline-D4","C178",0.1,"media","a3",33668.6953125
"DMSO","SolventControl","Citrulline-D4","C181",0.1,"media","h3",28645.4140625
"DMSO","SolventControl","Citrulline-D4","C163",0.1,"cells","f3",55550.1953125
"DMSO","SolventControl","2'-deoxycytidine","C175",0.1,"cells","f3",7538.9287109375
"DMSO","SolventControl","2'-deoxycytidine","C175",0.1,"cells","g3",8876.2666015625
"DMSO","SolventControl","Thymidine.D4","C148",0.1,"cells","d3",81112.234375
"DMSO","SolventControl","Lactate","C1ds1",0.1,"media","a3",14841.8662109375
"DMSO","SolventControl","Arachidonic Acid","C167",0.1,"cells","e3",346096.75
"DMSO","SolventControl","Citrulline-D4","C1ca1",0.1,"cells","b3",30328.0546875
"DMSO","SolventControl","Arachidonic Acid","C169",0.1,"cells","d3",292313.3125
"DMSO","SolventControl","Arachidonic Acid","C174",0.1,"cells","b3",335604.03125
"DMSO","SolventControl","Arachidonic Acid","C174",0.1,"cells","c3",321150.0625
"DMSO","SolventControl","2'-deoxycytidine","C183",0.1,"cells","f3",3880.84130859375
"DMSO","SolventControl","Citrulline-D4","C160",0.1,"media","h3",55905.4140625
"DMSO","SolventControl","Arachidonic Acid","C174",0.1,"cells","f3",297511.21875
"DMSO","SolventControl","Citrulline-D4","C1ca1",0.1,"cells","f3",28842.115234375
"DMSO","SolventControl","Citrulline-D4","C1ca1",0.1,"media","h3",28035.7109375
"DMSO","SolventControl","Lactate","C1ds1",0.1,"media","h3",16191.6875
"DMSO","SolventControl","Lactate","C1ds1",0.1,"cells","g3",13790.1806640625
"DMSO","SolventControl","Citrulline-D4","C175",0.1,"cells","f3",24842.76953125
"DMSO","SolventControl","Thymidine.D4","C157",0.1,"cells","e3",84780.71875
"DMSO","SolventControl","Arachidonic Acid","C171",0.1,"cells","e3",285304.84375
"DMSO","SolventControl","Citrulline-D4","C1ds3",0.1,"cells","b3",21828.8046875
"DMSO","SolventControl","Lactate","C174",0.1,"cells","b3",12543.8603515625
"DMSO","SolventControl","Lactate.D3","C1ca1",0.1,"cells","c3",8413.1884765625
"DMSO","SolventControl","Lactate.D3","C1ca1",0.1,"cells","d3",9863.2294921875
"DMSO","SolventControl","Lactate.D3","C1ca1",0.1,"cells","e3",9853.9951171875
"DMSO","SolventControl","Thymidine","C179",0.1,"cells","d3",18569.03515625
"DMSO","SolventControl","Thymidine","C179",0.1,"cells","e3",17799.400390625
"DMSO","SolventControl","Citrulline-D4","C1ds3",0.1,"cells","f3",21940.98046875
"DMSO","SolventControl","Thymidine","C179",0.1,"cells","g3",17360.26171875
"DMSO","SolventControl","Citrulline-D4","C1ds3",0.1,"media","h3",22662.041015625
"DMSO","SolventControl","Thymidine.D4","C1ds3",0.1,"media","h3",56614.55078125
"DMSO","SolventControl","Citrulline-D4","C1ca2",0.1,"cells","f3",29892.802734375
"DMSO","SolventControl","Arachidonic Acid","C182",0.1,"media","h3",344592.40625
"DMSO","SolventControl","2'-deoxycytidine","C1ds1",0.1,"cells","e3",8020.2666015625
"DMSO","SolventControl","Lactate.D3","C1ds3",0.1,"cells","b3",8936.7724609375
"DMSO","SolventControl","2'-deoxycytidine","C147",0.1,"cells","c3",10305.1904296875
"DMSO","SolventControl","2'-deoxycytidine","C147",0.1,"cells","e3",9491.7392578125
"DMSO","SolventControl","Lactate.D3","C1ds3",0.1,"cells","g3",8843.3095703125
"DMSO","SolventControl","Arachidonic Acid","C179",0.1,"cells","e3",386003.6875
"DMSO","SolventControl","Lactate.D3","C1ca2",0.1,"cells","d3",9227.23828125
"DMSO","SolventControl","Lactate.D3","C1ca2",0.1,"cells","e3",9256.2099609375
"DMSO","SolventControl","Thymidine","C187",0.1,"cells","e3",13773.1630859375
"DMSO","SolventControl","Arachidonic Acid","C179",0.1,"media","h3",296826.40625
"DMSO","SolventControl","Lactate.D3","C183",0.1,"cells","b3",4850.39453125
"DMSO","SolventControl","Thymidine","C1ds2",0.1,"cells","c3",14114.78125
"DMSO","SolventControl","Lactate","C179",0.1,"cells","c3",34231.05859375
"DMSO","SolventControl","Lactate.D3","C183",0.1,"cells","g3",3784.9638671875
"DMSO","SolventControl","Lactate.D3","C183",0.1,"media","h3",4457.947265625
"DMSO","SolventControl","Citrulline-D4","C177",0.1,"cells","d3",30581.990234375
"DMSO","SolventControl","Thymidine.D4","C177",0.1,"media","a3",75344.4609375
"DMSO","SolventControl","2'-deoxycytidine","C153",0.1,"cells","d3",16067.41796875
"DMSO","SolventControl","Thymidine","C184",0.1,"cells","f3",15436.890625
"DMSO","SolventControl","Thymidine","C184",0.1,"cells","g3",15002.10546875
"DMSO","SolventControl","Citrulline-D4","C159",0.1,"cells","g3",52647.19921875
"DMSO","SolventControl","Thymidine.D4","C1ds1",0.1,"cells","f3",62055.81640625
"DMSO","SolventControl","Citrulline-D4","C169",0.1,"cells","d3",29068.5703125
"DMSO","SolventControl","Citrulline-D4","C169",0.1,"cells","e3",30809.935546875
"DMSO","SolventControl","Lactate.D3","C180",0.1,"media","h3",13332.9306640625
"DMSO","SolventControl","Thymidine.D4","C174",0.1,"cells","b3",67002.828125
"DMSO","SolventControl","Citrulline-D4","C169",0.1,"media","h3",24208.57421875
"DMSO","SolventControl","Arachidonic Acid","C170",0.1,"cells","d3",239425.65625
"DMSO","SolventControl","Thymidine","C170",0.1,"media","a3",3963.27490234375
"DMSO","SolventControl","Arachidonic Acid","C170",0.1,"cells","f3",250132.625
"DMSO","SolventControl","Lactate.D3","C1ds1",0.1,"cells","e3",6840.08056640625
"DMSO","SolventControl","Arachidonic Acid","C170",0.1,"media","h3",303998.5625
"DMSO","SolventControl","Thymidine.D4","C156",0.1,"cells","g3",75548.921875
"DMSO","SolventControl","Lactate","C184",0.1,"cells","d3",3313.93725585938
"DMSO","SolventControl","Lactate","C184",0.1,"cells","e3",4034.46142578125
"DMSO","SolventControl","Lactate.D3","C174",0.1,"cells","b3",7128.2763671875
"DMSO","SolventControl","Lactate.D3","C177",0.1,"media","h3",9749.14453125
"DMSO","SolventControl","Thymidine","C178",0.1,"cells","f3",21757.681640625
"DMSO","SolventControl","2'-deoxycytidine","C149",0.1,"cells","f3",17317.9375
"DMSO","SolventControl","2'-deoxycytidine","C187",0.1,"cells","g3",3571.70361328125
"DMSO","SolventControl","Thymidine","C178",0.1,"cells","e3",23138.23828125
"DMSO","SolventControl","2'-deoxycytidine","C1ds2",0.1,"cells","f3",8042.470703125
"DMSO","SolventControl","Citrulline-D4","C179",0.1,"media","a3",37789.05859375
"DMSO","SolventControl","Citrulline-D4","C153",0.1,"cells","b3",43319.66015625
"DMSO","SolventControl","Citrulline-D4","C153",0.1,"cells","c3",48340.6640625
"DMSO","SolventControl","Lactate.D3","C185",0.1,"cells","b3",2261.02612304688
"DMSO","SolventControl","Thymidine.D4","C149",0.1,"media","a3",87486.9140625
"DMSO","SolventControl","2'-deoxycytidine","C176",0.1,"media","h3",930.415832519531
"DMSO","SolventControl","Thymidine.D4","C149",0.1,"cells","d3",89950.7734375
"DMSO","SolventControl","Thymidine.D4","C149",0.1,"cells","e3",89632.9296875
"DMSO","SolventControl","Thymidine.D4","C149",0.1,"cells","f3",87461.1328125
"DMSO","SolventControl","Thymidine.D4","C164",0.1,"cells","f3",82742.625
"DMSO","SolventControl","Thymidine","C1ds3",0.1,"media","a3",2601.2734375
"DMSO","SolventControl","Thymidine.D4","C164",0.1,"cells","g3",83135.6796875
"DMSO","SolventControl","Citrulline-D4","C179",0.1,"cells","g3",33621.796875
"DMSO","SolventControl","Arachidonic Acid","C1ds3",0.1,"cells","b3",389204.40625
"DMSO","SolventControl","Arachidonic Acid","C1ds3",0.1,"cells","c3",411003.28125
"DMSO","SolventControl","Thymidine.D4","C161",0.1,"cells","c3",90831.59375
"DMSO","SolventControl","Arachidonic Acid","C1ds3",0.1,"cells","e3",383008.59375
"DMSO","SolventControl","Thymidine","C1ds3",0.1,"cells","g3",13738.3427734375
"DMSO","SolventControl","Citrulline-D4","C1ds2",0.1,"cells","b3",20959.708984375
"DMSO","SolventControl","Citrulline-D4","C1ds2",0.1,"cells","c3",22124.20703125
"DMSO","SolventControl","Thymidine.D4","C187",0.1,"cells","d3",56618.55859375
"DMSO","SolventControl","Citrulline-D4","C158",0.1,"cells","f3",54120.4453125
"DMSO","SolventControl","Thymidine.D4","C1ds2",0.1,"cells","b3",59602.95703125
"DMSO","SolventControl","Lactate","C175",0.1,"media","a3",19189.0078125
"DMSO","SolventControl","Thymidine.D4","C1ds2",0.1,"cells","d3",59596.86328125
"DMSO","SolventControl","Thymidine.D4","C1ds2",0.1,"cells","e3",59705.2578125
"DMSO","SolventControl","Thymidine.D4","C1ds2",0.1,"cells","f3",58487.8359375
"DMSO","SolventControl","Thymidine.D4","C1ds2",0.1,"media","h3",63191.5546875
"DMSO","SolventControl","Lactate","C1ds3",0.1,"cells","g3",22487.09375
"DMSO","SolventControl","Arachidonic Acid","C147",0.1,"cells","g3",493309.75
"DMSO","SolventControl","Citrulline-D4","C184",0.1,"cells","c3",6769.41796875
"DMSO","SolventControl","Thymidine.D4","C155",0.1,"cells","f3",83058.53125
"DMSO","SolventControl","Thymidine.D4","C155",0.1,"cells","g3",82224.2890625
"DMSO","SolventControl","Thymidine.D4","C155",0.1,"media","h3",90356.7265625
"DMSO","SolventControl","Citrulline-D4","C184",0.1,"cells","e3",8989.9814453125
"DMSO","SolventControl","Citrulline-D4","C170",0.1,"cells","f3",35432.015625
"DMSO","SolventControl","Citrulline-D4","C151",0.1,"cells","g3",45438.4453125
"DMSO","SolventControl","Lactate","C183",0.1,"cells","e3",7742.859375
"DMSO","SolventControl","Citrulline-D4","C184",0.1,"cells","g3",9282.3271484375
"DMSO","SolventControl","2'-deoxycytidine","C148",0.1,"cells","d3",22158.28125
"DMSO","SolventControl","2'-deoxycytidine","C148",0.1,"cells","e3",21797.099609375
"DMSO","SolventControl","Thymidine","C177",0.1,"cells","c3",19722.4140625
"DMSO","SolventControl","2'-deoxycytidine","C1ds3",0.1,"cells","d3",7395.6826171875
"DMSO","SolventControl","2'-deoxycytidine","C1ds3",0.1,"cells","e3",6842.50146484375
"DMSO","SolventControl","2'-deoxycytidine","C1ds3",0.1,"cells","f3",7533.93505859375
"DMSO","SolventControl","Arachidonic Acid","C1ds1",0.1,"cells","e3",333540
"DMSO","SolventControl","Lactate.D3","C184",0.1,"media","a3",2341.88452148438
"DMSO","SolventControl","Citrulline-D4","C163",0.1,"cells","g3",54513.578125
"DMSO","SolventControl","Arachidonic Acid","C1ds1",0.1,"media","h3",249426.5625
"DMSO","SolventControl","Lactate.D3","C184",0.1,"cells","e3",2002.26245117188
"DMSO","SolventControl","Arachidonic Acid","C167",0.1,"cells","d3",333460.09375
"DMSO","SolventControl","Thymidine.D4","C178",0.1,"cells","c3",67560.8828125
"DMSO","SolventControl","Arachidonic Acid","C167",0.1,"cells","f3",327480.53125
"DMSO","SolventControl","Arachidonic Acid","C167",0.1,"cells","g3",335885.90625
"DMSO","SolventControl","Arachidonic Acid","C167",0.1,"media","h3",300834.5625
"DMSO","SolventControl","Thymidine.D4","C160",0.1,"media","a3",90566.328125
"DMSO","SolventControl","Lactate","C147",0.1,"cells","g3",25162.82421875
"DMSO","SolventControl","Lactate","C147",0.1,"media","h3",28070.357421875
"DMSO","SolventControl","Arachidonic Acid","C174",0.1,"cells","e3",319877.78125
"DMSO","SolventControl","Thymidine.D4","C160",0.1,"cells","e3",93549.140625
"DMSO","SolventControl","Thymidine.D4","C175",0.1,"cells","b3",68791.1796875
"DMSO","SolventControl","Thymidine.D4","C160",0.1,"cells","g3",80652.046875
"DMSO","SolventControl","Arachidonic Acid","C166",0.1,"cells","d3",332508.90625
"DMSO","SolventControl","Thymidine.D4","C1ds1",0.1,"media","h3",66946.2421875
"DMSO","SolventControl","Thymidine","C181",0.1,"media","a3",4177.529296875
"DMSO","SolventControl","Citrulline-D4","C186",0.1,"media","a3",11219.9306640625
"DMSO","SolventControl","Thymidine.D4","C157",0.1,"cells","f3",84207.734375
"DMSO","SolventControl","Thymidine","C153",0.1,"media","a3",5080.75390625
"DMSO","SolventControl","Lactate","C185",0.1,"media","a3",2442.01879882812
"DMSO","SolventControl","Lactate","C185",0.1,"cells","b3",3265.2119140625
"DMSO","SolventControl","Thymidine.D4","C1ds3",0.1,"cells","c3",58230.08203125
"DMSO","SolventControl","Lactate","C185",0.1,"cells","c3",3582.60913085938
"DMSO","SolventControl","Lactate","C185",0.1,"cells","d3",3528.99169921875
"DMSO","SolventControl","Citrulline-D4","C183",0.1,"media","a3",21837.90625
"DMSO","SolventControl","2'-deoxycytidine","C150",0.1,"cells","g3",16539.841796875
"DMSO","SolventControl","Thymidine.D4","C1ca2",0.1,"cells","b3",67754.5390625
"DMSO","SolventControl","Thymidine.D4","C154",0.1,"cells","f3",77797.859375
"DMSO","SolventControl","Thymidine","C153",0.1,"media","h3",5137.7451171875
"DMSO","SolventControl","Citrulline-D4","C1ca2",0.1,"cells","g3",30507.626953125
"DMSO","SolventControl","Arachidonic Acid","C153",0.1,"cells","g3",319210.125
"DMSO","SolventControl","Thymidine.D4","C152",0.1,"cells","f3",74521.015625
"DMSO","SolventControl","Lactate.D3","C1ds3",0.1,"cells","c3",9802.9140625
"DMSO","SolventControl","Lactate","C153",0.1,"cells","b3",13310.3447265625
"DMSO","SolventControl","2'-deoxycytidine","C147",0.1,"cells","f3",9994.6533203125
"DMSO","SolventControl","Lactate.D3","C1ds3",0.1,"media","h3",8801.0986328125
"DMSO","SolventControl","Thymidine.D4","C180",0.1,"cells","d3",59626.32421875
"DMSO","SolventControl","Thymidine.D4","C180",0.1,"cells","e3",54291.48046875
"DMSO","SolventControl","Arachidonic Acid","C179",0.1,"cells","g3",314985.875
"DMSO","SolventControl","Lactate.D3","C183",0.1,"media","a3",4869.1884765625
"DMSO","SolventControl","Thymidine","C1ds2",0.1,"cells","b3",15030.310546875
"DMSO","SolventControl","Arachidonic Acid","C157",0.1,"cells","f3",332750.84375
"DMSO","SolventControl","Lactate.D3","C183",0.1,"cells","d3",4599.10498046875
"DMSO","SolventControl","Lactate.D3","C183",0.1,"cells","f3",4848.75634765625
"DMSO","SolventControl","Thymidine.D4","C162",0.1,"cells","b3",80884.40625
"DMSO","SolventControl","Citrulline-D4","C1ds1",0.1,"cells","b3",14027.5458984375
"DMSO","SolventControl","Arachidonic Acid","C1ds2",0.1,"cells","g3",401141.0625
"DMSO","SolventControl","Thymidine.D4","C162",0.1,"cells","g3",81299.25
"DMSO","SolventControl","Lactate.D3","C180",0.1,"media","a3",8439.947265625
"DMSO","SolventControl","2'-deoxycytidine","C153",0.1,"cells","g3",13594.3994140625
"DMSO","SolventControl","2'-deoxycytidine","C153",0.1,"media","h3",749.815002441406
"DMSO","SolventControl","Lactate.D3","C180",0.1,"cells","e3",10322.2978515625
"DMSO","SolventControl","Lactate.D3","C180",0.1,"cells","f3",11903.2080078125
"DMSO","SolventControl","Arachidonic Acid","C1ds3",0.1,"media","h3",292559.15625
"DMSO","SolventControl","Citrulline-D4","C187",0.1,"cells","g3",10486.111328125
"DMSO","SolventControl","Arachidonic Acid","C147",0.1,"media","a3",565162.75
"DMSO","SolventControl","Thymidine","C181",0.1,"cells","b3",14724.50390625
"DMSO","SolventControl","Arachidonic Acid","C166",0.1,"media","h3",314485.0625
"DMSO","SolventControl","Thymidine","C168",0.1,"cells","d3",17093.654296875
"DMSO","SolventControl","Citrulline-D4","C185",0.1,"cells","b3",9543.5615234375
"DMSO","SolventControl","Thymidine.D4","C185",0.1,"media","a3",66611.53125
"DMSO","SolventControl","Thymidine","C168",0.1,"media","h3",4137.25
"DMSO","SolventControl","Arachidonic Acid","C170",0.1,"cells","e3",265257.5625
"DMSO","SolventControl","Thymidine.D4","C156",0.1,"media","h3",81421.671875
"DMSO","SolventControl","Citrulline-D4","C185",0.1,"cells","e3",11371.2509765625
"DMSO","SolventControl","Thymidine.D4","C185",0.1,"cells","f3",63727.88671875
"DMSO","SolventControl","Lactate","C184",0.1,"cells","f3",3447.04174804688
"DMSO","SolventControl","Lactate","C184",0.1,"cells","g3",3660.77416992188
"DMSO","SolventControl","Citrulline-D4","C182",0.1,"cells","d3",25098.587890625
"DMSO","SolventControl","Thymidine.D4","C152",0.1,"cells","d3",77838.1875
"DMSO","SolventControl","2'-deoxycytidine","C1ds2",0.1,"cells","b3",7826.06005859375
"DMSO","SolventControl","Thymidine","C147",0.1,"cells","f3",28495.7734375
"DMSO","SolventControl","Citrulline-D4","C153",0.1,"media","a3",49236.171875
"DMSO","SolventControl","Citrulline-D4","C182",0.1,"cells","g3",25742.646484375
"DMSO","SolventControl","Citrulline-D4","C182",0.1,"media","h3",25756.908203125
"DMSO","SolventControl","Lactate.D3","C185",0.1,"media","a3",2489.46118164062
"DMSO","SolventControl","Lactate.D3","C185",0.1,"cells","c3",1913.89477539062
"DMSO","SolventControl","Thymidine.D4","C149",0.1,"cells","b3",90180.4140625
"DMSO","SolventControl","Lactate.D3","C185",0.1,"cells","f3",1923.32702636719
"DMSO","SolventControl","Arachidonic Acid","C157",0.1,"cells","g3",343009.34375
"DMSO","SolventControl","Citrulline-D4","C153",0.1,"cells","g3",43183.265625
"DMSO","SolventControl","Citrulline-D4","C163",0.1,"media","h3",55667.984375
"DMSO","SolventControl","Thymidine.D4","C164",0.1,"media","h3",78050.4453125
"DMSO","SolventControl","Thymidine","C1ds2",0.1,"cells","d3",15395.171875
"DMSO","SolventControl","Thymidine.D4","C178",0.1,"cells","d3",70013.2578125
"DMSO","SolventControl","Citrulline-D4","C161",0.1,"media","h3",53945.234375
"DMSO","SolventControl","Lactate.D3","C153",0.1,"cells","d3",12142.3603515625
"DMSO","SolventControl","Citrulline-D4","C187",0.1,"cells","c3",10674.2333984375
"DMSO","SolventControl","Thymidine.D4","C161",0.1,"cells","d3",89435.109375
"DMSO","SolventControl","Arachidonic Acid","C186",0.1,"cells","c3",247138.078125
"DMSO","SolventControl","Arachidonic Acid","C186",0.1,"cells","d3",232997.25
"DMSO","SolventControl","Thymidine.D4","C161",0.1,"media","h3",95629.953125
"DMSO","SolventControl","Thymidine","C1ds3",0.1,"media","h3",3275.10961914062
"DMSO","SolventControl","Citrulline-D4","C1ca1",0.1,"cells","g3",29671.4609375
"DMSO","SolventControl","Citrulline-D4","C167",0.1,"media","h3",28250.5703125
"DMSO","SolventControl","Thymidine.D4","C159",0.1,"cells","e3",82960.890625
"DMSO","SolventControl","Arachidonic Acid","C147",0.1,"cells","b3",518710.09375
"DMSO","SolventControl","2'-deoxycytidine","C181",0.1,"media","h3",722.558959960938
"DMSO","SolventControl","Lactate","C186",0.1,"cells","b3",2619.09448242188
"DMSO","SolventControl","Arachidonic Acid","C147",0.1,"cells","e3",580778.25
"DMSO","SolventControl","Arachidonic Acid","C147",0.1,"cells","f3",562156.625
"DMSO","SolventControl","Arachidonic Acid","C1ca2",0.1,"cells","c3",266983.53125
"DMSO","SolventControl","Lactate.D3","C176",0.1,"media","a3",12711.3837890625
"DMSO","SolventControl","2'-deoxycytidine","C151",0.1,"cells","g3",15523.466796875
"DMSO","SolventControl","Citrulline-D4","C166",0.1,"cells","g3",26896.4375
"DMSO","SolventControl","Thymidine","C147",0.1,"media","a3",9333.37890625
"DMSO","SolventControl","Thymidine","C147",0.1,"cells","b3",28878.47265625
"DMSO","SolventControl","Citrulline-D4","C181",0.1,"media","a3",26219.189453125
"DMSO","SolventControl","2'-deoxycytidine","C1ca1",0.1,"cells","f3",7491.10791015625
"DMSO","SolventControl","Citrulline-D4","C170",0.1,"cells","g3",33578.46484375
"DMSO","SolventControl","Thymidine","C147",0.1,"cells","e3",31537.322265625
"DMSO","SolventControl","Arachidonic Acid","C153",0.1,"cells","f3",306227.65625
"DMSO","SolventControl","Citrulline-D4","C181",0.1,"cells","e3",27523.77734375
"DMSO","SolventControl","Thymidine","C1ds1",0.1,"cells","d3",14355.587890625
"DMSO","SolventControl","Thymidine.D4","C181",0.1,"cells","c3",54812.30078125
"DMSO","SolventControl","Thymidine.D4","C181",0.1,"cells","d3",58203.765625
"DMSO","SolventControl","Thymidine.D4","C151",0.1,"media","h3",92272.7734375
"DMSO","SolventControl","Arachidonic Acid","C180",0.1,"media","h3",440950.375
"DMSO","SolventControl","Arachidonic Acid","C159",0.1,"media","h3",322281
"DMSO","SolventControl","Lactate","C180",0.1,"media","a3",12075.080078125
"DMSO","SolventControl","Lactate","C180",0.1,"cells","c3",26670.142578125
"DMSO","SolventControl","Citrulline-D4","C153",0.1,"cells","f3",42109.39453125
"DMSO","SolventControl","Thymidine.D4","C163",0.1,"cells","d3",83681.484375
"DMSO","SolventControl","Citrulline-D4","C153",0.1,"cells","e3",46163.703125
"DMSO","SolventControl","Lactate.D3","C183",0.1,"cells","e3",3842.82983398438
"DMSO","SolventControl","Arachidonic Acid","C169",0.1,"cells","c3",281782.875
"DMSO","SolventControl","Arachidonic Acid","C174",0.1,"media","a3",284417.09375
"DMSO","SolventControl","Arachidonic Acid","C177",0.1,"media","h3",336344.5625
"DMSO","SolventControl","Lactate","C1ds1",0.1,"cells","d3",13201.009765625
"DMSO","SolventControl","Arachidonic Acid","C174",0.1,"cells","d3",335288.5
"DMSO","SolventControl","Arachidonic Acid","C169",0.1,"cells","f3",260071.53125
"DMSO","SolventControl","Arachidonic Acid","C169",0.1,"media","h3",267649.46875
"DMSO","SolventControl","Citrulline-D4","C1ca1",0.1,"cells","e3",29183.640625
"DMSO","SolventControl","2'-deoxycytidine","C182",0.1,"media","h3",860.605834960938
"DMSO","SolventControl","Citrulline-D4","C187",0.1,"cells","f3",10459.4736328125
"DMSO","SolventControl","Lactate.D3","C179",0.1,"cells","d3",11758.306640625
"DMSO","SolventControl","Citrulline-D4","C169",0.1,"cells","f3",23235.607421875
"DMSO","SolventControl","Citrulline-D4","C169",0.1,"cells","g3",32969.859375
"DMSO","SolventControl","Arachidonic Acid","C168",0.1,"cells","c3",404747.75
"DMSO","SolventControl","Citrulline-D4","C157",0.1,"media","h3",56982.37109375
"DMSO","SolventControl","Lactate.D3","C178",0.1,"cells","g3",11531.8583984375
"DMSO","SolventControl","Lactate.D3","C178",0.1,"media","h3",12108.3583984375
"DMSO","SolventControl","Thymidine","C179",0.1,"cells","c3",17276.1640625
"DMSO","SolventControl","Citrulline-D4","C154",0.1,"media","h3",44805.62890625
"DMSO","SolventControl","Citrulline-D4","C1ca2",0.1,"cells","b3",28173.634765625
"DMSO","SolventControl","Citrulline-D4","C1ds3",0.1,"cells","e3",24143.373046875
"DMSO","SolventControl","Citrulline-D4","C183",0.1,"cells","b3",21510.798828125
"DMSO","SolventControl","Citrulline-D4","C1ds3",0.1,"cells","g3",23250.884765625
"DMSO","SolventControl","Thymidine","C153",0.1,"cells","f3",18876.470703125
"DMSO","SolventControl","Citrulline-D4","C1ca2",0.1,"cells","e3",27793.041015625
"DMSO","SolventControl","Arachidonic Acid","C153",0.1,"media","h3",386718.5
"DMSO","SolventControl","Thymidine.D4","C152",0.1,"cells","b3",78595.203125
"DMSO","SolventControl","Thymidine.D4","C152",0.1,"cells","c3",74983.2890625
"DMSO","SolventControl","Thymidine","C187",0.1,"media","a3",3572.76318359375
"DMSO","SolventControl","Lactate","C182",0.1,"cells","f3",43309.546875
"DMSO","SolventControl","Thymidine.D4","C150",0.1,"cells","c3",91616.2734375
"DMSO","SolventControl","Lactate.D3","C186",0.1,"cells","d3",1510.47448730469
"DMSO","SolventControl","Lactate.D3","C186",0.1,"cells","e3",1897.26831054688
"DMSO","SolventControl","Arachidonic Acid","C158",0.1,"cells","f3",255848.90625
"DMSO","SolventControl","2'-deoxycytidine","C185",0.1,"cells","e3",4348.3603515625
"DMSO","SolventControl","Thymidine.D4","C150",0.1,"cells","f3",89721.65625
"DMSO","SolventControl","Lactate.D3","C184",0.1,"cells","b3",1795.73510742188
"DMSO","SolventControl","Lactate.D3","C184",0.1,"cells","d3",1898.75732421875
"DMSO","SolventControl","2'-deoxycytidine","C1ds3",0.1,"media","h3",697.961730957031
"DMSO","SolventControl","Arachidonic Acid","C1ds2",0.1,"media","a3",363169.0625
"DMSO","SolventControl","Citrulline-D4","C1ds1",0.1,"media","a3",19184.310546875
"DMSO","SolventControl","Thymidine","C1ds2",0.1,"cells","g3",14273.24609375
"DMSO","SolventControl","Thymidine.D4","C147",0.1,"cells","f3",80363.1953125
"DMSO","SolventControl","Thymidine.D4","C147",0.1,"cells","g3",86706.3359375
"DMSO","SolventControl","Thymidine.D4","C162",0.1,"media","h3",83913.640625
"DMSO","SolventControl","Arachidonic Acid","C173",0.1,"cells","c3",316892.4375
"DMSO","SolventControl","Thymidine.D4","C1ds1",0.1,"cells","d3",63923.453125
"DMSO","SolventControl","Citrulline-D4","C167",0.1,"cells","g3",27221.123046875
"DMSO","SolventControl","Thymidine.D4","C161",0.1,"cells","g3",88862.40625
"DMSO","SolventControl","Thymidine.D4","C160",0.1,"cells","f3",85563.234375
"DMSO","SolventControl","Thymidine.D4","C1ds1",0.1,"cells","g3",69024.09375
"DMSO","SolventControl","Citrulline-D4","C187",0.1,"media","h3",10719.5234375
"DMSO","SolventControl","Thymidine","C1ca2",0.1,"media","h3",4287.86669921875
"DMSO","SolventControl","Thymidine.D4","C158",0.1,"cells","f3",85245.578125
"DMSO","SolventControl","Arachidonic Acid","C170",0.1,"cells","b3",212691.734375
